SMILES,Name
Nc1nc(Cl)nc2c1ncn2[C@H]1C[C@H](O)[C@@H](CO)O1,Cladribine
COc1ccccc1OCC(O)CN1CCN(CC(=O)Nc2c(C)cccc2C)CC1,Ranolazine
Nc1ccc(O)c(C(=O)O)c1,Mesalazine
CN1[C@@H]2CC[C@H]1C[C@@H](OC(c1ccccc1)c1ccccc1)C2,Benzatropine
O=C1Cc2cc(CCN3CCN(c4nsc5ccccc45)CC3)c(Cl)cc2N1,Ziprasidone
CCC(CO)NC(=O)[C@@H]1C=C2c3cccc4c3c(cn4C)C[C@H]2N(C)C1,Methysergide
C=CCN1C[C@H](C(=O)N(CCCN(C)C)C(=O)NCC)C[C@@H]2c3cccc4[nH]cc(c34)C[C@H]21,Cabergoline
O=c1[nH]c(=O)n([C@H]2C[C@H](O)[C@@H](CO)O2)cc1I,Idoxuridine
Nc1ccc(S(=O)(=O)c2ccc(N)cc2)cc1,Dapsone
CC(C)N1CCN(c2ccc(OC[C@@H]3CO[C@@](Cn4cncn4)(c4ccc(Cl)cc4Cl)O3)cc2)CC1,Terconazole
O=C1NC(=O)C(c2ccccc2)(c2ccccc2)N1,Phenytoin
CC(=O)[C@H]1CC[C@H]2[C@@H]3C[C@H](C)C4=CC(=O)CC[C@]4(C)[C@H]3[C@@H](O)C[C@]12C,Medrysone
C[C@H]1c2cccc(O)c2C(=O)C2=C(O)[C@]3(O)C(=O)C(C(N)=O)=C(O)[C@@H](N(C)C)[C@@H]3[C@@H](O)[C@@H]21,Doxycycline
CC/C(=C(/CC)c1ccc(O)cc1)c1ccc(O)cc1,Diethylstilbestrol
CN(C)[C@@H]1C(O)=C(C(=O)NCNCCCC[C@H](N)C(=O)O)C(=O)[C@@]2(O)C(O)=C3C(=O)c4c(O)cccc4[C@@](C)(O)[C@H]3C[C@@H]12,Lymecycline
Clc1ccccc1C(c1ccccc1)(c1ccccc1)n1ccnc1,Clotrimazole
Nc1ccc(S(N)(=O)=O)cc1,Sulfanilamide
N[C@@H]1CONC1=O,Cycloserine
O=C1CN2Cc3c(ccc(Cl)c3Cl)N=C2N1,Anagrelide
Cc1noc(NS(=O)(=O)c2ccc(N)cc2)c1C,Sulfisoxazole
COCCc1ccc(OCC(O)CNC(C)C)cc1,Metoprolol
CC=CC(=O)N(CC)c1ccccc1C,Crotamiton
O=c1oc2ccccc2c(O)c1Cc1c(O)c2ccccc2oc1=O,Dicoumarol
CO/N=C(\C(=O)N[C@@H]1C(=O)N2C(C(=O)O)=C(CSc3nnnn3C)CS[C@H]12)c1csc(N)n1,Cefmenoxime
CCCN(CCC)CCc1cccc2c1CC(=O)N2,Ropinirole
COC(=O)C1=C(C)NC(C)=C(C(=O)OC(C)C)C1c1cccc2nonc12,Isradipine
CC(=O)Nc1c(I)c(NC(C)=O)c(I)c(C(=O)O)c1I,Diatrizoate
NCCc1ccn[nH]1,Betazole
CC1(C)O[C@@H]2[C@@H](CO[C@@]3(COS(N)(=O)=O)OC(C)(C)O[C@@H]23)O1,Topiramate
CO[C@@]1(NC(=O)CSCC#N)C(=O)N2C(C(=O)O)=C(CSc3nnnn3C)CS[C@@H]21,Cefmetazole
CCCc1nc(C(C)(C)O)c(C(=O)O)n1Cc1ccc(-c2ccccc2-c2nnn[nH]2)cc1,Olmesartan
COc1cc(NS(C)(=O)=O)ccc1Nc1c2ccccc2nc2ccccc12,Amsacrine
Cn1c(=O)c2[nH]cnc2n(C)c1=O,Theophylline
CC1CNc2c(cccc2S(=O)(=O)N[C@@H](CCCNC(=N)N)C(=O)N2CC[C@@H](C)C[C@@H]2C(=O)O)C1,Argatroban
N[C@@H](Cc1cc(I)c(Oc2ccc(O)c(I)c2)c(I)c1)C(=O)O,Liothyronine
CC(C)N(CCC(C(N)=O)(c1ccccc1)c1ccccn1)C(C)C,Disopyramide
CCN(CC)CC(=O)Nc1c(C)cccc1C,Lidocaine
CN1CCC[C@@H]1CCO[C@](C)(c1ccccc1)c1ccc(Cl)cc1,Clemastine
C[C@H]1O[C@H](O[C@H]2[C@H](O)[C@@H](O)[C@@H](O[C@@H]([C@H](O)[C@@H](O)C=O)[C@H](O)CO)O[C@@H]2CO)[C@H](O)[C@@H](O)[C@@H]1N[C@H]1C=C(CO)[C@@H](O)[C@H](O)[C@H]1O,Acarbose
COc1ccc(C(CN(C)C)C2(O)CCCCC2)cc1,Venlafaxine
CC(C)OC(=O)CCC/C=C\C[C@@H]1[C@@H](/C=C/[C@@H](O)COc2cccc(C(F)(F)F)c2)[C@H](O)C[C@@H]1O,Travoprost
CC(=O)OCC(=O)[C@@]12OC3(CCCC3)O[C@@H]1C[C@H]1[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]12C,Amcinonide
CNCC[C@@H](Oc1ccccc1C)c1ccccc1,Atomoxetine
O=C(O)CCCc1ccc(N(CCCl)CCCl)cc1,Chlorambucil
CCOC(=O)c1cncn1[C@H](C)c1ccccc1,Etomidate
Cc1nc(=O)c2cc(CN(C)c3ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)s3)ccc2[nH]1,Raltitrexed
C#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@@H]4[C@H]3C(=C)C[C@@]21CC,Etonogestrel
CN1CC[C@]23c4c5ccc(O)c4O[C@H]2[C@@H](O)C=C[C@H]3[C@H]1C5,Morphine
CCCN1CCCC[C@H]1C(=O)Nc1c(C)cccc1C,Ropivacaine
CCCCN1CCCCC1C(=O)Nc1c(C)cccc1C,Bupivacaine
Cc1ccccc1N1CCN(CCc2nnc3n2CCCC3)CC1,Dapiprazole
Nc1nc(=O)c2ncn(CCC(CO)CO)c2[nH]1,Penciclovir
CC(C)OC(=O)OCOP(=O)(CO[C@H](C)Cn1cnc2c(N)ncnc21)OCOC(=O)OC(C)C,Tenofovir disoproxil
Cc1onc(-c2c(F)cccc2Cl)c1C(=O)N[C@@H]1C(=O)N2[C@@H]1SC(C)(C)[C@@H]2C(=O)O,Flucloxacillin
NC[C@H]1CC[C@H](C(=O)O)CC1,Tranexamic acid
C[C@@H](O)[C@H]1C(=O)N2C(C(=O)O)=C(S[C@@H]3CN[C@H](C(=O)Nc4cccc(C(=O)O)c4)C3)[C@H](C)[C@H]12,Ertapenem
C#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CCCC[C@@H]4[C@H]3C(=C)C[C@@]21CC,Desogestrel
CO[C@@]12[C@H](COC(N)=O)C3=C(C(=O)C(C)=C(N)C3=O)N1C[C@@H]1N[C@@H]12,Mitomycin
C=CCC1(C(C)CC)C(=O)NC(=O)NC1=O,Talbutal
C=C(c1ccc(C(=O)O)cc1)c1cc2c(cc1C)C(C)(C)CCC2(C)C,Bexarotene
CCCCCCCN(CC)CCCC(O)c1ccc(NS(C)(=O)=O)cc1,Ibutilide
CC[C@]1(O)C[C@@H]2CN(CCc3c([nH]c4ccccc34)[C@@](C(=O)OC)(c3cc4c(cc3OC)N(C)[C@H]3[C@@](O)(C(N)=O)[C@H](O)[C@]5(CC)C=CCN6CC[C@]43[C@@H]65)C2)C1,Vindesine
NS(=O)(=O)c1cc(C2(O)NC(=O)c3ccccc32)ccc1Cl,Chlorthalidone
CCCC(C)C1(CC)C(=O)NC(=O)NC1=O,Pentobarbital
CN(C)CCc1c[nH]c2ccc(C[C@H]3COC(=O)N3)cc12,Zolmitriptan
CC(=O)Nc1ccc(O)cc1,Acetaminophen
COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OCCCN1CCOCC1,Gefitinib
COc1ccc2c3c1O[C@H]1[C@@H](O)C=C[C@H]4[C@@H](C2)N(C)CC[C@@]341,Codeine
CCN1CCN(C(=O)N[C@@H](C(=O)N[C@@H]2C(=O)N3[C@@H]2SC(C)(C)[C@@H]3C(=O)O)c2ccccc2)C(=O)C1=O,Piperacillin
CN1C[C@H](C(=O)N[C@]2(C)O[C@@]3(O)[C@@H]4CCCN4C(=O)[C@H](Cc4ccccc4)N3C2=O)C[C@@H]2c3cccc4[nH]cc(c34)C[C@H]21,Dihydroergotamine
CN(C)CCC=C1c2ccccc2CCc2ccccc21,Amitriptyline
O=c1[nH]c(=O)n([C@H]2C[C@H](O)[C@@H](CO)O2)cc1F,Floxuridine
Cc1ccc(C(=O)c2cc(O)c(O)c([N+](=O)[O-])c2)cc1,Tolcapone
CC(=O)[C@@]1(O)CC[C@H]2[C@@H]3C[C@H](C)C4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]21C,Fluorometholone
CN1CC[C@]23c4c5ccc(O)c4O[C@H]2C(=O)CC[C@H]3[C@H]1C5,Hydromorphone
COc1ccc2c(c1)c(CC(=O)O)c(C)n2C(=O)c1ccc(Cl)cc1,Indomethacin
CC(C)[N+]1(C)[C@@H]2CC[C@H]1C[C@@H](OC(=O)C(CO)c1ccccc1)C2,Ipratropium
CCC(=O)C(CC(C)N(C)C)(c1ccccc1)c1ccccc1,Methadone
Cc1cc2c(s1)Nc1ccccc1N=C2N1CCN(C)CC1,Olanzapine
CC(C)NCC(O)COc1ccc(CC(N)=O)cc1,Atenolol
NC(=O)N/N=C/c1ccc([N+](=O)[O-])o1,Nitrofural
COc1ccc2nc(S(=O)Cc3ncc(C)c(OC)c3C)[nH]c2c1,Omeprazole
NC(=O)c1cnccn1,Pyrazinamide
CN1CCCC(CC2c3ccccc3Sc3ccccc32)C1,Metixene
O=C(O)COCCN1CCN(C(c2ccccc2)c2ccc(Cl)cc2)CC1,Cetirizine
CC(C)(C)c1ccc(C(O)CCCN2CCC(C(O)(c3ccccc3)c3ccccc3)CC2)cc1,Terfenadine
COc1ccc([C@@H]2Sc3ccccc3N(CCN(C)C)C(=O)[C@@H]2OC(C)=O)cc1,Diltiazem
CNCCCC1c2ccccc2C=Cc2ccccc21,Protriptyline
Nc1ccc(C(=O)NCC(=O)O)cc1,Aminohippuric acid
COc1cc2nc(N(C)CCCNC(=O)C3CCCO3)nc(N)c2cc1OC,Alfuzosin
CN1C(=O)OC(C)(C)C1=O,Trimethadione
O=C1CCCC(=O)C1C(=O)c1ccc(C(F)(F)F)cc1[N+](=O)[O-],Nitisinone
CN1C(=O)CC(=O)N(c2ccccc2)c2cc(Cl)ccc21,Clobazam
Nc1cc(N2CCCCC2)nc(N)[n+]1[O-],Minoxidil
CC(=O)O[C@]1(C(C)=O)CC[C@H]2[C@@H]3C=C(C)C4=CC(=O)CC[C@]4(C)[C@H]3CC[C@@]21C,Megestrol acetate
Nc1nc(=S)c2[nH]cnc2[nH]1,Tioguanine
CC[C@@H](CO)NC(=O)[C@@H]1C=C2c3cccc4[nH]cc(c34)C[C@H]2N(C)C1,Methylergometrine
CC(C)(C)c1ccc(CN2CCN(C(c3ccccc3)c3ccc(Cl)cc3)CC2)cc1,Buclizine
C[C@H]1[C@H](NC(=O)/C(=N\OC(C)(C)C(=O)O)c2csc([NH3+])n2)C(=O)N1S(=O)(=O)[O-],Aztreonam
O=c1[nH]c2cc(Cl)ccc2o1,Chlorzoxazone
CCC1(c2ccc(N)cc2)CCC(=O)NC1=O,Aminoglutethimide
OC(c1cc(C(F)(F)F)nc2c(C(F)(F)F)cccc12)C1CCCCN1,Mefloquine
