ID,SMILES,IC50(nM)
BDBM50312295,CC(O)=NC1CC(C)N(C(=O)c2ccccc2)c2ccccc21,3620.0
BDBM155045,CC(O)=Nc1ccc(-c2c(C)c(CC(=O)O)cc3ccc(Cl)cc23)cc1,29.2
BDBM50381812,CC(O)=Nc1ccc(C(=O)c2ncc(CC(=O)O)c3ccccc23)cc1,330.0
BDBM50357123,CC(O)=Nc1ccc2c(c1)c(Sc1ccc(Cl)cc1)c(C)n2CC(=O)O,56.0
BDBM50357143,CC(O)=Nc1cccc2c1c(Oc1ccc(Cl)cc1)c(C)n2CC(=O)O,18.0
BDBM50357135,CC(O)=Nc1cccc2c1c(S(=O)(=O)c1ccc(Cl)cc1)c(C)n2CC(=O)O,7.1
BDBM50357102,CC(O)=Nc1cccc2c1c(Sc1ccc(Cl)cc1)c(C)n2CC(=O)O,4.3
BDBM189244,CC(O)=Nc1nc2c(s1)C(c1cc(Cl)ccc1OCC(=O)O)N(C(=O)OCc1ccccc1)CC2,857.0
BDBM189247|BDBM189248,CC(Oc1ccc(Cl)cc1C1c2scnc2CCN1C(=O)OCc1ccccc1)C(=O)O,41.45
BDBM50362162,CC(Oc1cccc(CCCn2cc(C(c3ccccc3)c3ccccc3)ccc2=O)c1)C(=O)O,17.0
BDBM50312915,CC(c1ccccc1)(c1ccccc1)c1nc(-c2ccc(F)cc2)c(CC(=O)O)s1,3.9925
BDBM189175,CC1(C)CC1C(=O)N1CCc2ncsc2C1c1cc(Cl)ccc1OCC(=O)O,37.1
BDBM50449256,CC1(c2ccccc2)CC(c2ccc3c(=O)n(-c4ccc(F)cc4)c(CCCCC(=O)O)nc3c2)=NO1,19.0
BDBM50312293,CC1CC(N(C(=O)/C=C/C(=O)O)c2ccccc2)c2ccccc2N1C(=O)c1ccccc1,2280.0
BDBM50312276,CC1CC(N(C(=O)CC(=O)O)c2ccccc2)c2ccccc2N1C(=O)c1ccccc1,540.0
BDBM50312278,CC1CC(N(C(=O)CCC(=O)O)c2ccccc2)c2ccccc2N1C(=O)c1ccccc1,16.5
BDBM50312277,CC1CC(N(C(=O)CCC(=O)ON)c2ccccc2)c2ccccc2N1C(=O)c1ccccc1,29.0
BDBM50312292,CC1CC(N(C(=O)CCCC(=O)O)c2ccccc2)c2ccccc2N1C(=O)c1ccccc1,22.0
BDBM50312294,CC1CC(N(C(=O)c2cccc(C(=O)O)c2)c2ccccc2)c2ccccc2N1C(=O)c1ccccc1,40300.0
BDBM50312280,CC1CC(N(C(=O)c2ccccc2)c2ccccc2)c2ccccc2N1C(=O)c1ccccc1,105.0
BDBM50312281,CC1CC(N(c2ccccc2)S(=O)(=O)c2ccccc2)c2ccccc2N1C(=O)c1ccccc1,5500.0
BDBM50162903,CC1CCc2c(c3cc(NS(=O)(=O)c4ccc(F)cc4)ccc3n2CC(=O)O)C1,9.7
BDBM50339767,CC1CN(Cc2cc(Cl)ccc2OCC(=O)O)CCN1C(=O)c1ccccc1,135.0
BDBM50339765,CC1CN(S(=O)(=O)c2ccccc2)CCN1Cc1cc(Cl)ccc1OCC(=O)O,49.5
BDBM50384464,CCC(=O)N(Cc1ccc(C(F)(F)F)cc1)c1cc(F)cc(-c2nn[nH]n2)c1,37.0
BDBM50384476,CCC(=O)N(Cc1cccc(O)c1)c1cc(F)cc(-c2nn[nH]n2)c1,85.0
BDBM50384483,CCC(=O)N(Cc1cccc(OC)c1)c1cc(F)cc(-c2nn[nH]n2)c1,64.0
BDBM189188,CCC(C)(C)COC(=O)N1CCc2ncsc2C1c1cc(Cl)ccc1OCC(=O)O,2.0
BDBM189198,CCC(C)COC(=O)N1CCc2ncsc2C1c1cc(Cl)ccc1OCC(=O)O,2.8
BDBM205799,CCC(CC(=O)N1CCc2c(F)ccc(-c3cc(CC(=O)O)ccc3OC)c2C1)c1ccccc1,63.6
BDBM50360682,CCC(O)=Nc1ccc(Oc2cc(CC(=O)O)ccc2OC)c(C(O)=NC(C)(C)Cc2ccc(F)cc2)c1,8.5
BDBM50360681,CCC(O)=Nc1ccc(Oc2cc(CC(=O)O)ccc2OC)c(C(O)=NCCc2ccc(F)cc2)c1,7.5
BDBM50360677,CCC(O)=Nc1ccc(Oc2cc(CC(=O)O)ccc2OC)c(C(O)=NCc2ccc(Cl)cc2)c1,36.0
BDBM50360679,CCC(O)=Nc1ccc(Oc2cc(CC(=O)O)ccc2OC)c(C(O)=N[C@@H](C)c2ccc(Cl)cc2)c1,8.5
BDBM50360680,CCC(O)=Nc1ccc(Oc2cc(CC(=O)O)ccc2OC)c(C(O)=N[C@@H](C)c2ccccc2)c1,3.5
BDBM50360678,CCC(O)=Nc1ccc(Oc2cc(CC(=O)O)ccc2OC)c(C(O)=N[C@H](C)c2ccc(Cl)cc2)c1,137.0
BDBM50302815,CCC(O)=Nc1ccc(Oc2cccc(CC(=O)O)c2)c(NS(=O)(=O)c2ccc(Cl)cc2)c1,7.0
BDBM50344980,CCC(Oc1ccc(C(F)(F)F)cc1-c1ccc(S(=O)(=O)CC)cc1C)C(=O)O,178.0
BDBM205946,CCC(Oc1ccc(OC)c(-c2ccc(F)c3c2CN(C(=O)OCc2ccccc2)CC3)c1)C(=O)O,337.0
BDBM50362163,CCC(Oc1cccc(CCCn2cc(C(c3ccccc3)c3ccccc3)ccc2=O)c1)C(=O)O,502.0
BDBM50309256,CCC(c1ccccc1)c1nc(-c2ccc(Cl)cc2)c(CC(=O)O)s1,190.0
BDBM50449257,CCC1(c2ccccc2)CC(c2ccc3c(=O)n(-c4ccc(F)cc4)c(CCCCC(=O)O)nc3c2)=NO1,39.0
BDBM50449258,CCCC1(c2ccccc2)CC(c2ccc3c(=O)n(-c4ccc(F)cc4)c(CCCCC(=O)O)nc3c2)=NO1,73.0
BDBM50384461,CCCCC(=O)N(Cc1ccc(OC(F)(F)F)cc1)c1cc(Cl)cc(-c2nn[nH]n2)c1,20.0
BDBM50384484,CCCCC(=O)N(Cc1ccc(OC)cc1)c1cc(Cl)cc(-c2nn[nH]n2)c1,10.0
BDBM50384482,CCCCC(=O)N(Cc1ccc2c(c1)OCCO2)c1cc(F)cc(-c2nn[nH]n2)c1,21.4
BDBM50312279,CCCCC(=O)N(c1ccccc1)C1CC(C)N(C(=O)c2ccccc2)c2ccccc21,64.0
BDBM50312304,CCCCC(=O)N1c2ccccc2C(N(C(C)=O)c2ccccc2)CC1C,1460.0
BDBM50435111,CCCCCC(=O)N1CCc2c(c3ccccc3n2CC(=O)O)C1,210.0
BDBM50387241,CCCCCCSc1nc2ccccc2n1CC(=O)O,1360.0
BDBM50333848,CCCCCN([C@@H]1CCc2c(CC(=O)O)c3ccccc3n2C1)S(=O)(=O)c1ccc(F)cc1,55.95
BDBM50302829,CCCCCN=C(O)c1ccc(Oc2ccc(CC(=O)O)cc2OC)c(NS(=O)(=O)c2ccc(Cl)cc2Cl)c1,7.0
BDBM50387240,CCCCCSc1nc2ccccc2n1CC(=O)O,1240.0
BDBM50435101,CCCCN(C(=O)/C(C#N)=C/c1cn(CC(=O)O)c2ccccc12)c1ccccc1,20.0
BDBM50364528,CCCCN=C(O)c1ccc(Cc2ccc(CC(=O)O)cc2OC)c(NS(=O)(=O)c2ccc(Cl)cc2Cl)c1,2.0
BDBM50387188,CCCCN=C(O)c1ccc(OC)c(CSc2nc3cc(F)ccc3n2CC(=O)O)c1,28.5
BDBM50363917,CCCCN=C(O)c1ccc(Oc2cc(F)c(CC(=O)O)cc2F)c(NS(=O)(=O)c2ccc(Cl)cc2Cl)c1,18.0
BDBM50360668,CCCCN=C(O)c1ccc(Oc2ccc(C(F)(F)C(=O)O)cc2OC)c(NS(=O)(=O)c2ccc(Cl)cc2Cl)c1,420.0
BDBM50363916,CCCCN=C(O)c1ccc(Oc2ccc(CC(=O)O)cc2C#N)c(NS(=O)(=O)c2ccc(Cl)cc2Cl)c1,114.0
BDBM50363935,CCCCN=C(O)c1ccc(Oc2ccc(CC(=O)O)cc2C)c(NS(=O)(=O)c2ccc(Cl)cc2Cl)c1,14.5
BDBM50363936,CCCCN=C(O)c1ccc(Oc2ccc(CC(=O)O)cc2Cl)c(NS(=O)(=O)c2ccc(Cl)cc2Cl)c1,48.0
BDBM50363915,CCCCN=C(O)c1ccc(Oc2ccc(CC(=O)O)cc2F)c(NS(=O)(=O)c2ccc(Cl)cc2Cl)c1,58.5
