ID,pIC50,SMILES,IC50(nM)
11683632|BDBM50233522|CHEMBL3932668,8.619788758288394,CCS(=O)(=O)c1ccc(Cn2c(C)c(CC(=O)O)c3cccnc32)c(C(F)(F)F)c1,2.4
11704178|BDBM50233523|CHEMBL3931906,8.154901959985743,CCS(=O)(=O)c1ccc(Cn2c(C)c(CC(=O)O)c3cccnc32)c(Cl)c1,7.0
11603173|BDBM50233529|CHEMBL4073398,8.397940008672037,CCS(=O)(=O)c1ccc(Cn2c(C)c(CC(=O)O)c3cccnc32)cc1,4.0
11583024|BDBM50357144|CHEMBL1917458,8.455931955649724,CCS(=O)(=O)c1ccc(Oc2c(C)n(CC(=O)O)c3ccc(C(F)(F)F)cc23)cc1,3.5
54587656|BDBM50345002|CHEMBL1778629,7.251811972993799,CCS(=O)(=O)c1cccc(-c2cc(C(F)(F)F)ccc2OCC(=O)O)c1,56.0
BDBM50034891,6.259637310505756,CCS(=O)(=O)c1ccccc1Cc1c2c(n(CC(=O)O)c1C)CCN=C2O,550.0
71471350|CHEMBL3338112,6.259637310505756,CCS(=O)(=O)c1ccccc1Cc1c2c(n(CC(=O)O)c1C)CCNC2=O,550.0
11382710|BDBM50345008|CHEMBL1778622,8.050609993355087,CCSc1ccc(-c2cc(C(F)(F)F)ccc2OCC(=O)O)cc1,8.9
BDBM50339756|CHEMBL1689123,7.750801642608887,CC[C@H]1CN(Cc2cc(Cl)ccc2OCC(=O)O)CCN1S(=O)(=O)c1ccccc1,17.75
68505312|BDBM50434977|CHEMBL2385905,7.045757490560675,CCc1ccc(-c2ccc(C(=O)N3CCc4c(c5cccc(Cl)c5n4CC(=O)O)C3)cc2)cc1,90.0
11539410|BDBM50434982|CHEMBL2385904,6.721246399047171,CCc1ccc(-c2ccc(C(=O)N3CCc4c(c5ccccc5n4CC(=O)O)C3)cc2)cc1,190.0
4033797|BDBM50309442|CHEMBL596727,5.886056647693163,CCc1ccc(-c2nc(-c3ccccc3)sc2CC(=O)O)cc1,1300.0
3880137|BDBM50309452|CHEMBL589174,5.853871964321762,CCc1ccc(-c2nc(-c3ccccc3OC)sc2CC(=O)O)cc1,1400.0
9884103|BDBM50344987|CHEMBL1778643,7.102372908709558,CCc1ccc(OCC(=O)O)c(-c2ccc(S(C)(=O)=O)cc2)c1,79.0
53321678,7.823908740944319,CCc1ccc(S(=O)(=O)N(C)C2CCc3c(CC(=O)O)c4ccccc4n3C2)cc1,15.0
BDBM50333859|CHEMBL1643799,7.823908740944319,CCc1ccc(S(=O)(=O)N(C)[C@@H]2CCc3c(CC(=O)O)c4ccccc4n3C2)cc1,15.0
137643575|BDBM50233530|CHEMBL4086277,8.221848749616356,CCc1ccc2c(CC(=O)O)c(C)n(Cc3ccc(S(C)(=O)=O)cc3)c2n1,6.0
71225631|BDBM50034973|CHEMBL3343005,8.0,CCc1ccc2c(CC(=O)O)cn(-c3ccc(C(F)(F)F)cc3CN(CC)C(=O)C3CC3)c2n1,10.0
57401263|BDBM50364532|CHEMBL1950875,8.221848749616356,CCc1nc(-c2ccc(Oc3ccc(CC(=O)O)cc3OC)c(NS(=O)(=O)c3ccc(Cl)cc3Cl)c2)n[nH]1,6.0
BDBM189144|CHEMBL3972488,7.847711655616943,CCc1nc2c(s1)C(c1cc(Cl)ccc1OCC(=O)O)N(C(=O)OCc1ccccc1)CC2,14.2
57392568|BDBM50364533|CHEMBL1950876,6.113509274827518,CCc1noc(-c2ccc(Oc3ccc(CC(=O)O)cc3OC)c(NS(=O)(=O)c3ccc(Cl)cc3Cl)c2)n1,770.0
BDBM189219|CHEMBL3984755,8.431798275933005,CCn1nc(C)cc1CCOC(=O)N1CCc2ncsc2C1c1cc(Cl)ccc1OCC(=O)O,3.7
BDBM50435088|CHEMBL2391527,7.301029995663981,CN(C(=O)/C(C#N)=C/c1cn(CC(=O)O)c2c(Cl)cccc12)c1ccccc1,50.0
BDBM50435092|CHEMBL2391523,7.0,CN(C(=O)/C(C#N)=C/c1cn(CC(=O)O)c2c(F)cccc12)c1ccccc1,100.0
BDBM50435089|CHEMBL2391526,6.537602002101044,CN(C(=O)/C(C#N)=C/c1cn(CC(=O)O)c2cc(Cl)ccc12)c1ccccc1,290.0
BDBM50435093|CHEMBL2391522,7.346787486224656,CN(C(=O)/C(C#N)=C/c1cn(CC(=O)O)c2cc(F)ccc12)c1ccccc1,45.0
BDBM50435090|CHEMBL2391525,8.154901959985743,CN(C(=O)/C(C#N)=C/c1cn(CC(=O)O)c2ccc(Cl)cc12)c1ccccc1,7.0
BDBM50435094|CHEMBL2391521,8.0,CN(C(=O)/C(C#N)=C/c1cn(CC(=O)O)c2ccc(F)cc12)c1ccccc1,10.0
BDBM50435091|CHEMBL2391524,8.301029995663981,CN(C(=O)/C(C#N)=C/c1cn(CC(=O)O)c2cccc(Cl)c12)c1ccccc1,5.0
BDBM50435095|CHEMBL2391520,8.0,CN(C(=O)/C(C#N)=C/c1cn(CC(=O)O)c2cccc(F)c12)c1ccccc1,10.0
BDBM50435102|CHEMBL2391512,7.823908740944319,CN(C(=O)/C(C#N)=C/c1cn(CC(=O)O)c2ccccc12)c1ccccc1,15.0
71552162,7.301029995663981,CN(C(=O)C(C#N)=Cc1cn(CC(=O)O)c2c(Cl)cccc12)c1ccccc1,50.0
71552158,7.0,CN(C(=O)C(C#N)=Cc1cn(CC(=O)O)c2c(F)cccc12)c1ccccc1,100.0
71552161,6.537602002101044,CN(C(=O)C(C#N)=Cc1cn(CC(=O)O)c2cc(Cl)ccc12)c1ccccc1,290.0
